Price,URL,Type,Location,Bedrooms,Bathrooms,Parking.Spaces,Erf.Size,Floor.Size,Latitude,Longitude,Erf.Size.Normalized,Floor.Size.Normalized,Size,Predicted,Difference
665000,https://www.property24.com/for-sale/manenberg/cape-town/western-cape/8718/114882231,House,Manenberg,0.2,0.2,0.3,262.0,,0.343250611390149,0.497775533275056,0.314837153196622,,0.314837153196622,1011073.0,346073.0
950000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/114964655,Apartment,Zonnebloem,0.0666666666666667,0.2,0.0,,54.0,0.524774516642217,0.138378621885843,,0.214592274678112,0.214592274678112,1295564.0,345564.0
669000,https://www.property24.com/for-sale/hanover-park/cape-town/western-cape/8790/114927694,House,Hanover Park,0.2,0.2,0.0,162.0,,0.33531357179798,0.433392782552911,0.194209891435464,,0.194209891435464,1014182.0,345182.0
815000,https://www.property24.com/for-sale/rosebank/cape-town/western-cape/8683/114855106,Apartment,Rosebank,0.0333333333333333,0.2,0.0,,34.0,0.463188169112271,0.255294203055602,,0.128755364806867,0.128755364806867,1159591.0,344591.0
675000,https://www.property24.com/for-sale/thornton/cape-town/western-cape/8112/114991432,Apartment,Thornton,0.0666666666666667,0.2,0.1,,42.0,0.568048208943519,0.429683116653472,,0.163090128755365,0.163090128755365,1019081.0,344081.0
595000,https://www.property24.com/for-sale/hanover-park/cape-town/western-cape/8790/114803497,Townhouse,Hanover Park,0.2,0.2,0.2,64.0,,0.33531357179798,0.433392782552911,0.0759951749095295,,0.0759951749095295,938082.0,343082.0
820000,https://www.property24.com/for-sale/mowbray/cape-town/western-cape/8677/115062739,Apartment,Mowbray,0.0666666666666667,0.2,0.0,,34.0,0.474652746580796,0.256130413041706,,0.128755364806867,0.128755364806867,1162209.0,342209.0
500000,https://www.property24.com/for-sale/kensington/cape-town/western-cape/8010/114685737,Apartment,Kensington,0.0666666666666667,0.2,0.1,,33.0,0.582243762994914,0.354795064090154,,0.124463519313305,0.124463519313305,841308.0,341308.0
830000,https://www.property24.com/for-sale/philippi-east/cape-town/western-cape/16287/114707269,House,Philippi East,0.133333333333333,0.2,0.3,,237.0,0.277500492890148,0.65563620564665,,1.0,1.0,1170272.0,340272.0
825000,https://www.property24.com/for-sale/mowbray/cape-town/western-cape/8677/115050893,Apartment,Mowbray,0.0666666666666667,0.2,0.1,,34.0,0.474652746580796,0.256130413041706,,0.128755364806867,0.128755364806867,1164500.0,339500.0
680000,https://www.property24.com/for-sale/thornton/cape-town/western-cape/8112/114908321,Apartment,Thornton,0.0666666666666667,0.2,0.1,,42.0,0.568048208943519,0.429683116653472,,0.163090128755365,0.163090128755365,1018990.0,338990.0
680000,https://www.property24.com/for-sale/thornton/cape-town/western-cape/8112/114842280,Apartment,Thornton,0.0666666666666667,0.2,0.1,,42.0,0.568048208943519,0.429683116653472,,0.163090128755365,0.163090128755365,1018990.0,338990.0
550000,https://www.property24.com/for-sale/nyanga/cape-town/western-cape/9132/114870704,House,Nyanga,0.0666666666666667,0.2,0.8,189.0,,0.35206961482182,0.588915197483191,0.226779252110977,,0.226779252110977,887964.0,337964.0
470000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115089369,Apartment,Wynberg,0.0666666666666667,0.2,0.1,,36.0,0.299112099254906,0.235312456728385,,0.137339055793991,0.137339055793991,807418.0,337418.0
930000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/114172882,Apartment,Zonnebloem,0.0666666666666667,0.2,0.1,,46.0,0.524774516642217,0.138378621885843,,0.180257510729614,0.180257510729614,1266943.0,336943.0
