"Price","URL","Type","Location","Bedrooms","Bathrooms","Parking.Spaces","Erf.Size","Floor.Size","Latitude","Longitude"
1350000,"https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115167756","Apartment","Woodstock",0.5,1,1,NA,24,-33.9305556,18.4472222
1499000,"https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/115172029","House","Retreat",4,2,3,404,NA,-34.0541667,18.4763889
510000,"https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115114879","Apartment","Wynberg",1,1,1,NA,45,-34.0036249,18.4672507
800000,"https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/115171570","Apartment","Maitland",2,1,1,NA,54,-33.9225,18.4930556
920000,"https://www.property24.com/for-sale/ottery/cape-town/western-cape/10090/115168755","House","Ottery",2,1,1,72,NA,-34.0131526,18.5091531
900000,"https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/114955764","Apartment","Muizenberg",1,1,1,NA,46,-34.0978389,18.4845707617506
850000,"https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/115178166","House","Retreat",2,1,5,305,NA,-34.0541667,18.4763889
1150000,"https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/109888893","Apartment","Claremont Upper",0.5,1,1,NA,36,-33.98342,18.46048
1350000,"https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/114900903","Apartment","Woodstock",0.5,1,1,NA,24,-33.9305556,18.4472222
899000,"https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/115174112","Apartment","Maitland",2,1,1,NA,71,-33.9225,18.4930556
1325000,"https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115207286","House","Belhar",2,1.5,2,143,NA,-33.9447222,18.6258333
1450000,"https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115223216","Apartment","Plumstead",2,1,1,NA,50,-34.02,18.4772222
1450000,"https://www.property24.com/for-sale/fairways/cape-town/western-cape/10068/115161039","House","Fairways",2,1,5,200,NA,-34.02141615,18.4935969081208
1450000,"https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115012187","Apartment","Plumstead",2,1,2,NA,80,-34.02,18.4772222
750000,"https://www.property24.com/for-sale/ocean-view/cape-town/western-cape/9069/115047951","House","Ocean View",3,1,2,150,NA,-33.91222275,18.3890767944427
1150000,"https://www.property24.com/for-sale/costa-da-gama/cape-town/western-cape/13856/115167466","Apartment","Costa Da Gama",1,1,1,NA,61,-34.09616,18.48278
