Price,URL,Type,Location,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Floor Size
900000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/114955764,1 Bedroom Apartment,Muizenberg,1,1,1,,46
770000,https://www.property24.com/for-sale/erica-township/cape-town/western-cape/16397/115180420,2 Bedroom Apartment,Erica Township,2,1,,,
850000,https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/115178166,2 Bedroom House,Retreat,2,1,5,305,
1150000,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/109888893,0.5 Bedroom Apartment,Claremont Upper,0.5,1,1,,36
1350000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/114900903,0.5 Bedroom Apartment,Woodstock,0.5,1,1,,24
899000,https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/115174112,2 Bedroom Apartment,Maitland,2,1,1,,71
1325000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115207286,2 Bedroom House,Belhar,2,1.5,2,143,
1625000,https://www.property24.com/for-sale/athlone/cape-town/western-cape/8734/115150810,"l>
",Gardens,0.5,1,,,17
1450000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115223216,2 Bedroom Apartment,Plumstead,2,1,1,,50
1450000,https://www.property24.com/for-sale/fairways/cape-town/western-cape/10068/115161039,2 Bedroom House,Fairways,2,1,5,200,
1450000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115012187,2 Bedroom Apartment,Plumstead,2,1,2,,80
750000,https://www.property24.com/for-sale/ocean-view/cape-town/western-cape/9069/115047951,3 Bedroom House,Ocean View,3,1,2,150,
1150000,https://www.property24.com/for-sale/costa-da-gama/cape-town/western-cape/13856/115167466,1 Bedroom Apartment,Costa Da Gama,1,1,1,,61
1150000,https://www.property24.com/for-sale/salt-river/cape-town/western-cape/10158/115166684,2 Bedroom Apartment,Salt River,2,1,,,73
1150000,https://www.property24.com/for-sale/mowbray/cape-town/western-cape/8677/115177265,2 Bedroom Apartment,Mowbray,2,1,1,,63
815000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115180012,0.5 Bedroom Apartment,Zonnebloem,0.5,1,1,,32
820000,https://www.property24.com/for-sale/manenberg/cape-town/western-cape/8718/115199213,3 Bedroom House,Manenberg,3,1,2,260,
1400000,https://www.property24.com/for-sale/bridgetown/cape-town/western-cape/8723/115200693,3 Bedroom House,Bridgetown,3,2,2,218,
999000,https://www.property24.com/for-sale/capricorn/cape-town/western-cape/12788/115073886,2 Bedroom Apartment,Capricorn,2,1,1,,56
